,finger extension,thumb extension,thumb abduction,aperture,wrist extension,supination,elbow extension,shoulder elevation,external rotation,smoothness,movement,rotation,accel_label
0,132.3373661071,37.9353523637,38.231116825,110.2677167668,32.6519582216,110.6989938655,150.7449026193,93.3268279371,-5.2149177639,-3256.7936838427,0.1168655753,18.5499245722,0
1,185.9386861797,9.7092805237,45.7751215848,126.052571222,27.1135614738,136.7726239261,155.5239577623,78.4703909534,-2.6893358897,-4097.752815318,0.0254624425,10.9063388845,0
2,164.4097670268,27.2292734622,79.5356594131,112.104279866,21.3131428679,131.6751649438,175.365468742,91.2439476628,6.6898185062,-4207.8246959443,0.0425497412,15.3961847745,1
3,173.462523607,37.9551723731,52.8462183395,117.9030156378,28.267256123,167.4296740478,165.6682411757,73.8187389084,-18.6328817257,-2932.2738694637,0.025344392,5.7746881457,1
4,173.2575058643,42.0171350122,130.9043805637,118.0501747386,35.235628293,129.106374109,161.096640833,88.4487283075,13.0529640498,-4219.0968459939,0.0367654183,12.6950486432,0
5,171.5756488395,25.5808894389,66.8422826219,109.8698674853,15.0203971688,103.6109170568,138.5910383331,93.3597932698,39.9076151024,-4478.6972769964,0.2356819987,26.9190689621,0
6,155.8373999376,0.1163273102,49.6848735759,129.636910163,22.2001551601,140.8975596686,135.5901546483,57.2736888603,3.7326961885,-4243.6356474277,0.019665529,6.138376695,1
7,73.9302416631,-6.0660498168,47.087686545,88.8093256431,20.903341214,141.4553700195,83.9574247227,78.5324728049,23.691959821,-5383.9709716003,0.1620232777,26.7797887228,0
8,118.9314069849,-50.9398707128,136.7650795146,58.6305504597,12.6692600142,76.9145193388,154.2963390197,79.477535869,7.18178122,-6018.7092876789,0.0805301667,22.1197483088,1
9,118.9285389075,-4.762512184,64.328995935,94.0252511871,0.5391665829,132.5714460263,94.0777694648,53.7809025419,-31.609880869,-4636.6868024273,0.1177563996,25.6849126288,0
10,174.5074448908,14.6022898584,92.2722999079,157.1369092019,16.6582122081,126.4965676739,157.674071386,76.1576503111,44.9806316948,-4098.9082845799,0.0234434386,10.4018158846,1
11,181.9370607801,33.5090858973,44.8515931791,120.6117927084,31.0716158687,115.8917538153,151.6135575867,65.59419262,23.9872908272,-3088.8777376498,0.0570584974,12.7626108907,0
12,,,,96.2317711069,9.3986325491,147.7252938517,122.2759141813,54.5532024765,-9.3038140629,-3647.3517327095,0.118857989,32.8702611585,0
13,160.2026482669,40.195923724,50.9057319908,109.9890731251,-4.0183584777,125.1300597068,,76.3423414043,-6.1950087334,-3781.8402647915,0.1553242634,23.819017691,1
14,101.4384108245,-8.2267811171,39.9346897196,56.6449813215,-21.3695024075,114.5567838564,,61.8647158614,-12.5077647893,-5458.9678582509,0.1804293201,33.03994616,0
15,182.2190196154,29.5607943009,47.4222524858,125.2460421805,24.9320368362,158.3256504622,,109.1530344294,-42.6157255992,,0.0360730338,12.5000488422,1
16,nan,nan,31.6128997193,47.8246527006,21.5920108092,67.0783198445,49.7408058704,74.4144286404,-80.8272531385,,0.1239566313,19.7057719567,0
17,90.568833881,23.1281555498,46.3625823741,73.6947771908,17.1681909731,132.1772773296,113.3184736812,52.4964399288,8.8986756529,,0.1981100464,43.127796121,0
18,156.4162914101,-26.221189619,38.4263232681,68.9235424478,-40.8912987322,144.7266173222,115.4792086706,48.1463375841,-47.5460614956,-5181.7006050889,0.2471787788,54.246314329,0
19,145.0775124159,26.5683575797,82.5920601962,125.4534960534,37.4778605153,134.5687494744,158.4883042879,72.3156802652,-17.3543884925,-2574.7949457129,0.0363250577,11.5469304977,0
20,72.1950175765,-77.7897309833,40.451147885,40.4175982176,,108.8424526965,158.7744549393,88.8147149324,-41.0720057568,-5816.8618302848,0.161295103,26.0535560887,0
21,128.3126952751,1.5434908237,50.113837194,60.9512574296,21.6983615532,86.1217202795,122.4030488777,82.4564102929,-46.853311789,-5921.0505652386,0.149654536,25.5848476999,0
22,165.4173192852,39.9546870081,71.2264119578,118.4256961949,16.4490361892,115.6476628992,206.4807167381,103.9628785058,44.6111874662,-3489.4548920429,0.0235403216,7.5486238855,1
23,102.8284850339,-63.0095888799,12.0392177076,64.313340658,20.8341009865,75.7509955069,114.9710299133,67.8576635123,-61.7658993322,-4625.7645388764,0.1555291323,22.9525075046,0
24,152.3305414468,2.1741278589,76.1357573933,102.8149730846,30.0192806304,147.4597227569,157.7240655337,47.4157850179,-2.1855727159,-2690.8205669704,0.0732471475,nan,0
25,171.439236376,18.8001570665,86.2981975412,123.9979579289,44.0507833705,166.9074298557,168.4045990339,76.0855441285,-32.6915089107,-3298.2053167392,0.0627611466,10.1514242633,0
26,162.0933614438,32.6987451707,55.7537879766,109.0121629213,32.4878450244,135.6204796934,169.483282278,77.022398261,4.7950500986,-2875.3186549148,0.0295424749,6.6972565682,1
27,165.7092209006,24.7875403563,72.7994276072,124.4716254794,24.5551024461,159.187045868,166.570039779,73.8406042833,0.5345110506,-3086.7267390678,0.0204133068,10.8076038803,1
28,63.6429499655,,61.5025017416,46.2314496993,27.9977265823,,99.3991336469,44.9463101897,-21.4942125437,-5177.3738318129,0.1663622386,31.5935089682,0
29,180.679314097,45.3280321168,83.8606862486,121.8497309182,23.6925938668,,125.1478600285,64.7686879382,32.9122137641,-3839.0012328244,0.0410125424,11.387451689,1
30,164.839408785,15.6381766663,54.6356964028,100.0306732382,19.1038404847,135.369472138,156.8955780912,67.1099362052,11.7559168749,-2721.5032254203,0.0605886905,18.9372003877,0
31,46.2741516075,-4.1355469909,40.7750369194,53.6107558068,15.7858949393,93.1660992703,173.2570099672,109.82639614,0.2091529558,,,,0
32,167.7273341246,15.4952747224,81.1748596241,125.698783114,18.0553944546,183.785345029,133.877500726,76.2696134725,12.5869526646,-3075.9122105668,0.0384163261,16.5130809317,1
33,187.6646505359,55.9293751165,85.9719027995,170.178861173,21.8633171036,149.7572062709,133.9033621518,93.1022150085,-57.4224409636,-3924.6548350541,0.1982342034,25.1141690799,0
34,136.9842576318,-86.5860901185,124.3848038372,70.2600114406,-5.9647316074,92.9146912106,74.7896756594,37.7770804448,-16.9947929084,-3840.276629652,0.1402378878,27.9910099827,0
35,115.9319840494,15.8848171059,54.6356964028,99.7938896905,26.1593525413,136.500427803,163.5772472128,51.5535236278,-32.857057803,-6271.9151884843,0.0908288029,24.5921069158,0
36,166.6453022443,23.0853693211,70.8128245561,116.1478771671,15.4462352022,187.8982862088,155.6028402565,87.0981457944,,-3332.6080371082,0.0294997258,8.9562214129,0
37,78.9581772428,-22.3283811562,51.9317747088,19.4825784971,-9.4683619053,124.7381678762,122.9089081807,69.6459408934,,-4810.9446787552,0.1152689188,28.5235756069,0
38,177.1762625282,20.8233226016,68.4691254686,154.7628176107,33.2728103806,165.6775821481,169.0993686229,91.0405863147,31.0529176838,-4353.799713835,0.0576838391,14.0340257834,0
39,178.1202709067,57.4709874898,,168.1130981605,32.8421821484,136.1790981136,156.6452546957,74.8836486316,23.7912658307,-3326.5148724693,0.0343732923,17.4644487618,0
40,200.6453348999,56.3919750986,41.1619313039,164.714313644,10.7367029724,122.3837004905,141.3679455481,65.861755955,31.4619397266,-4552.6843029014,0.0557657199,12.4199232244,0
41,111.5465800971,15.8848171059,54.6356964028,103.7647067658,30.1468126833,163.7201550989,117.3643419031,,-5.1416511035,-4417.6517166604,0.1307188534,17.8392204901,0
42,178.9542417068,22.165198012,52.9842033328,149.5326344547,18.1490848796,121.6580054275,128.2331593682,,-9.9758182726,-4085.4768077777,0.0637547152,18.5208942846,0
43,158.8848746917,15.8848171059,49.4546236609,113.0432031509,8.1272168058,149.3229925026,167.4356107907,67.3234085971,2.4000254549,-3912.68952965,0.0361237334,12.8641062917,0
44,123.7593133207,-33.0297696707,43.0439057531,60.3470033035,-22.6715384974,80.6730239707,79.6224195576,66.7813238252,-33.899746529,-3111.5321324979,0.1541620238,38.1462745936,0
